Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Using the latest cached version of the dataset since openai/openai_humaneval couldn't be found on the Hugging Face Hub
Found the latest cached dataset configuration 'openai_humaneval' at /home/szw/.cache/huggingface/datasets/openai___openai_humaneval/openai_humaneval/0.0.0/7dce6050a7d6d172f3cc5c32aa97f52fa1a2e544 (last modified on Mon Sep  7 11:02:20 2026).
[LOAD] Qwen2.5-Coder-7B-Instruct fp16 on cuda:3
  [C04 162/164] HumanEval/161 7861ms 146tok n=1
  [C04 163/164] HumanEval/162 22422ms 240tok n=1
  [C04 164/164] HumanEval/163 18867ms 271tok n=1
[DONE] C04
[LOAD] Qwen2.5-Coder-7B-Instruct int8 on cuda:3
Loading weights:   0%|          | 0/339 [00:00<?, ?it/s]Loading weights:   0%|          | 1/339 [00:00<01:38,  3.42it/s]Loading weights:   1%|          | 2/339 [00:00<01:38,  3.44it/s]Loading weights:   1%|          | 4/339 [00:00<01:00,  5.56it/s]Loading weights:   1%|▏         | 5/339 [00:01<01:01,  5.40it/s]Loading weights:   2%|▏         | 6/339 [00:01<01:02,  5.31it/s]Loading weights:   4%|▍         | 14/339 [00:01<00:16, 19.33it/s]Loading weights:   5%|▌         | 18/339 [00:01<00:27, 11.48it/s]Loading weights:   7%|▋         | 24/339 [00:02<00:17, 17.64it/s]Loading weights:   8%|▊         | 28/339 [00:02<00:17, 17.80it/s]Loading weights:   9%|▉         | 31/339 [00:02<00:23, 13.35it/s]Loading weights:  11%|█         | 36/339 [00:02<00:16, 18.11it/s]Loading weights:  12%|█▏        | 40/339 [00:02<00:16, 18.36it/s]Loading weights:  13%|█▎        | 43/339 [00:03<00:21, 13.83it/s]Loading weights:  15%|█▍        | 50/339 [00:03<00:13, 21.36it/s]Loading weights:  16%|█▌        | 54/339 [00:04<00:20, 13.65it/s]Loading weights:  18%|█▊        | 62/339 [00:04<00:13, 21.23it/s]Loading weights:  20%|█▉        | 67/339 [00:04<00:17, 15.13it/s]Loading weights:  22%|██▏       | 74/339 [00:04<00:12, 20.98it/s]Loading weights:  23%|██▎       | 79/339 [00:05<00:17, 14.94it/s]Loading weights:  25%|██▌       | 86/339 [00:05<00:12, 20.57it/s]Loading weights:  27%|██▋       | 91/339 [00:06<00:16, 14.98it/s]Loading weights:  29%|██▉       | 98/339 [00:06<00:11, 20.50it/s]Loading weights:  30%|███       | 103/339 [00:06<00:15, 15.00it/s]Loading weights:  32%|███▏      | 110/339 [00:06<00:11, 20.46it/s]Loading weights:  34%|███▍      | 115/339 [00:07<00:14, 14.99it/s]Loading weights:  37%|███▋      | 124/339 [00:07<00:11, 18.87it/s]Loading weights:  38%|███▊      | 128/339 [00:08<00:13, 16.12it/s]Loading weights:  40%|███▉      | 134/339 [00:08<00:09, 20.61it/s]Loading weights:  41%|████      | 138/339 [00:08<00:13, 14.37it/s]Loading weights:  43%|████▎     | 146/339 [00:08<00:09, 21.08it/s]Loading weights:  45%|████▍     | 151/339 [00:09<00:12, 15.43it/s]Loading weights:  47%|████▋     | 158/339 [00:09<00:08, 20.90it/s]Loading weights:  48%|████▊     | 163/339 [00:10<00:11, 15.17it/s]Loading weights:  50%|█████     | 170/339 [00:10<00:08, 20.67it/s]Loading weights:  52%|█████▏    | 175/339 [00:10<00:10, 15.15it/s]Loading weights:  54%|█████▎    | 182/339 [00:10<00:07, 20.66it/s]Loading weights:  55%|█████▌    | 187/339 [00:11<00:10, 15.14it/s]Loading weights:  57%|█████▋    | 194/339 [00:11<00:07, 20.58it/s]Loading weights:  59%|█████▊    | 199/339 [00:12<00:09, 15.19it/s]Loading weights:  61%|██████    | 206/339 [00:12<00:06, 20.66it/s]Loading weights:  62%|██████▏   | 211/339 [00:12<00:08, 15.26it/s]Loading weights:  64%|██████▍   | 218/339 [00:13<00:05, 20.76it/s]Loading weights:  66%|██████▌   | 223/339 [00:13<00:07, 15.12it/s]Loading weights:  68%|██████▊   | 230/339 [00:13<00:05, 20.56it/s]Loading weights:  69%|██████▉   | 235/339 [00:14<00:06, 15.25it/s]Loading weights:  71%|███████▏  | 242/339 [00:14<00:04, 20.70it/s]Loading weights:  73%|███████▎  | 247/339 [00:14<00:06, 15.27it/s]Loading weights:  75%|███████▍  | 254/339 [00:15<00:04, 20.79it/s]Loading weights:  76%|███████▋  | 259/339 [00:15<00:05, 15.12it/s]Loading weights:  78%|███████▊  | 264/339 [00:15<00:04, 18.61it/s]Loading weights:  79%|███████▉  | 268/339 [00:15<00:03, 18.98it/s]Loading weights:  80%|████████  | 272/339 [00:16<00:04, 15.79it/s]Loading weights:  82%|████████▏ | 278/339 [00:16<00:02, 21.28it/s]Loading weights:  83%|████████▎ | 282/339 [00:17<00:04, 14.05it/s]Loading weights:  85%|████████▍ | 288/339 [00:17<00:02, 19.12it/s]Loading weights:  86%|████████▌ | 292/339 [00:17<00:02, 19.32it/s]Loading weights:  87%|████████▋ | 296/339 [00:17<00:02, 15.62it/s]Loading weights:  89%|████████▉ | 302/339 [00:17<00:01, 21.18it/s]Loading weights:  90%|█████████ | 306/339 [00:18<00:02, 13.79it/s]Loading weights:  93%|█████████▎| 314/339 [00:18<00:01, 21.16it/s]Loading weights:  94%|█████████▍| 319/339 [00:19<00:01, 15.00it/s]Loading weights:  96%|█████████▌| 326/339 [00:19<00:00, 20.60it/s]Loading weights:  98%|█████████▊| 331/339 [00:19<00:00, 14.81it/s]Loading weights: 100%|█████████▉| 338/339 [00:19<00:00, 20.31it/s]Loading weights: 100%|██████████| 339/339 [00:19<00:00, 17.03it/s]
[LOAD] done in 22s
[LOAD] draft Qwen2.5-Coder-0.5B-Instruct
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]Loading weights:   0%|          | 1/290 [00:00<00:29,  9.77it/s]Loading weights:  31%|███       | 89/290 [00:00<00:00, 516.15it/s]Loading weights:  55%|█████▍    | 159/290 [00:00<00:00, 591.91it/s]Loading weights:  79%|███████▊  | 228/290 [00:00<00:00, 621.52it/s]Loading weights: 100%|██████████| 290/290 [00:00<00:00, 582.96it/s]
[RUN] C05 Qwen2.5-Coder-7B-Instruct/int8/speculative/greedy remaining=164
/home/szw/efficient-codegen-exp/.venv/lib/python3.10/site-packages/bitsandbytes/autograd/_functions.py:123: UserWarning: MatMul8bitLt: inputs will be cast from torch.bfloat16 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
  [C05 1/164] HumanEval/0 4816ms 62tok n=1
  [C05 2/164] HumanEval/1 13523ms 110tok n=1
  [C05 3/164] HumanEval/2 46332ms 196tok n=1
  [C05 4/164] HumanEval/3 3330ms 52tok n=1
  [C05 5/164] HumanEval/4 33076ms 332tok n=1
  [C05 6/164] HumanEval/5 4351ms 58tok n=1
  [C05 7/164] HumanEval/6 7766ms 71tok n=1
  [C05 8/164] HumanEval/7 3756ms 43tok n=1
  [C05 9/164] HumanEval/8 5172ms 70tok n=1
  [C05 10/164] HumanEval/9 53296ms 512tok n=1
  [C05 11/164] HumanEval/10 25727ms 188tok n=1
  [C05 12/164] HumanEval/11 32263ms 512tok n=1
  [C05 13/164] HumanEval/12 4032ms 72tok n=1
  [C05 14/164] HumanEval/13 4479ms 42tok n=1
  [C05 15/164] HumanEval/14 29661ms 235tok n=1
  [C05 16/164] HumanEval/15 8391ms 97tok n=1
  [C05 17/164] HumanEval/16 21571ms 184tok n=1
  [C05 18/164] HumanEval/17 5434ms 59tok n=1
  [C05 19/164] HumanEval/18 5091ms 43tok n=1
  [C05 20/164] HumanEval/19 11437ms 115tok n=1
  [C05 21/164] HumanEval/20 27902ms 219tok n=1
  [C05 22/164] HumanEval/21 11050ms 95tok n=1
  [C05 23/164] HumanEval/22 5718ms 54tok n=1
  [C05 24/164] HumanEval/23 2606ms 25tok n=1
  [C05 25/164] HumanEval/24 30470ms 235tok n=1
  [C05 26/164] HumanEval/25 6462ms 66tok n=1
  [C05 27/164] HumanEval/26 6038ms 40tok n=1
  [C05 28/164] HumanEval/27 15246ms 154tok n=1
  [C05 29/164] HumanEval/28 3545ms 36tok n=1
  [C05 30/164] HumanEval/29 14578ms 186tok n=1
  [C05 31/164] HumanEval/30 6099ms 110tok n=1
  [C05 32/164] HumanEval/31 25047ms 183tok n=1
  [C05 33/164] HumanEval/32 16449ms 129tok n=1
  [C05 34/164] HumanEval/33 87102ms 280tok n=1
  [C05 35/164] HumanEval/34 4349ms 73tok n=1
  [C05 36/164] HumanEval/35 3943ms 72tok n=1
  [C05 37/164] HumanEval/36 29616ms 257tok n=1
  [C05 38/164] HumanEval/37 9616ms 60tok n=1
  [C05 39/164] HumanEval/38 11446ms 131tok n=1
  [C05 40/164] HumanEval/39 42771ms 285tok n=1
  [C05 41/164] HumanEval/40 33454ms 282tok n=1
  [C05 42/164] HumanEval/41 15882ms 74tok n=1
  [C05 43/164] HumanEval/42 9711ms 102tok n=1
  [C05 44/164] HumanEval/43 65176ms 383tok n=1
  [C05 45/164] HumanEval/44 5538ms 89tok n=1
  [C05 46/164] HumanEval/45 1810ms 42tok n=1
  [C05 47/164] HumanEval/46 26314ms 243tok n=1
  [C05 48/164] HumanEval/47 9530ms 140tok n=1
  [C05 49/164] HumanEval/48 13813ms 59tok n=1
  [C05 50/164] HumanEval/49 30275ms 188tok n=1
  [C05 51/164] HumanEval/50 17629ms 189tok n=1
  [C05 52/164] HumanEval/51 13413ms 108tok n=1
  [C05 53/164] HumanEval/52 21738ms 181tok n=1
  [C05 54/164] HumanEval/53 26629ms 310tok n=1
  [C05 55/164] HumanEval/54 14419ms 169tok n=1
  [C05 56/164] HumanEval/55 13412ms 132tok n=1
  [C05 57/164] HumanEval/56 13392ms 122tok n=1
  [C05 58/164] HumanEval/57 20193ms 68tok n=1
  [C05 59/164] HumanEval/58 2554ms 37tok n=1
  [C05 60/164] HumanEval/59 23367ms 237tok n=1
  [C05 61/164] HumanEval/60 14402ms 200tok n=1
  [C05 62/164] HumanEval/61 13579ms 116tok n=1
  [C05 63/164] HumanEval/62 8069ms 61tok n=1
  [C05 64/164] HumanEval/63 17225ms 199tok n=1
  [C05 65/164] HumanEval/64 10984ms 102tok n=1
  [C05 66/164] HumanEval/65 13056ms 135tok n=1
  [C05 67/164] HumanEval/66 6527ms 114tok n=1
  [C05 68/164] HumanEval/67 25123ms 206tok n=1
  [C05 69/164] HumanEval/68 4317ms 80tok n=1
  [C05 70/164] HumanEval/69 35253ms 140tok n=1
  [C05 71/164] HumanEval/70 42559ms 330tok n=1
  [C05 72/164] HumanEval/71 20584ms 163tok n=1
  [C05 73/164] HumanEval/72 2070ms 14tok n=1
  [C05 74/164] HumanEval/73 36011ms 211tok n=1
  [C05 75/164] HumanEval/74 22030ms 179tok n=1
  [C05 76/164] HumanEval/75 16233ms 192tok n=1
  [C05 77/164] HumanEval/76 11075ms 86tok n=1
  [C05 78/164] HumanEval/77 12906ms 96tok n=1
  [C05 79/164] HumanEval/78 8328ms 164tok n=1
  [C05 80/164] HumanEval/79 19995ms 262tok n=1
  [C05 81/164] HumanEval/80 5639ms 98tok n=1
  [C05 82/164] HumanEval/81 18573ms 335tok n=1
  [C05 83/164] HumanEval/82 21114ms 164tok n=1
  [C05 84/164] HumanEval/83 15419ms 152tok n=1
  [C05 85/164] HumanEval/84 12919ms 162tok n=1
  [C05 86/164] HumanEval/85 6817ms 98tok n=1
  [C05 87/164] HumanEval/86 18516ms 125tok n=1
  [C05 88/164] HumanEval/87 24936ms 185tok n=1
  [C05 89/164] HumanEval/88 21230ms 229tok n=1
  [C05 90/164] HumanEval/89 14410ms 148tok n=1
  [C05 91/164] HumanEval/90 6550ms 59tok n=1
  [C05 92/164] HumanEval/91 28179ms 237tok n=1
  [C05 93/164] HumanEval/92 6335ms 34tok n=1
  [C05 94/164] HumanEval/93 29638ms 215tok n=1
  [C05 95/164] HumanEval/94 20385ms 391tok n=1
  [C05 96/164] HumanEval/95 36205ms 301tok n=1
  [C05 97/164] HumanEval/96 11359ms 228tok n=1
  [C05 98/164] HumanEval/97 33570ms 245tok n=1
  [C05 99/164] HumanEval/98 48844ms 246tok n=1
  [C05 100/164] HumanEval/99 33520ms 276tok n=1
  [C05 101/164] HumanEval/100 32456ms 242tok n=1
  [C05 102/164] HumanEval/101 26605ms 172tok n=1
  [C05 103/164] HumanEval/102 28843ms 170tok n=1
  [C05 104/164] HumanEval/103 14224ms 120tok n=1
  [C05 105/164] HumanEval/104 16726ms 119tok n=1
  [C05 106/164] HumanEval/105 39850ms 330tok n=1
  [C05 107/164] HumanEval/106 10205ms 87tok n=1
  [C05 108/164] HumanEval/107 14279ms 177tok n=1
  [C05 109/164] HumanEval/108 27828ms 223tok n=1
  [C05 110/164] HumanEval/109 17079ms 136tok n=1
  [C05 111/164] HumanEval/110 25152ms 81tok n=1
  [C05 112/164] HumanEval/111 40543ms 314tok n=1
  [C05 113/164] HumanEval/112 4628ms 66tok n=1
  [C05 114/164] HumanEval/113 22149ms 240tok n=1
  [C05 115/164] HumanEval/114 35232ms 279tok n=1
  [C05 116/164] HumanEval/115 12689ms 151tok n=1
  [C05 117/164] HumanEval/116 7813ms 136tok n=1
  [C05 118/164] HumanEval/117 28593ms 292tok n=1
  [C05 119/164] HumanEval/118 9249ms 129tok n=1
  [C05 120/164] HumanEval/119 17038ms 162tok n=1
  [C05 121/164] HumanEval/120 2217ms 34tok n=1
  [C05 122/164] HumanEval/121 13503ms 90tok n=1
  [C05 123/164] HumanEval/122 9696ms 78tok n=1
  [C05 124/164] HumanEval/123 33152ms 267tok n=1
  [C05 125/164] HumanEval/124 62450ms 409tok n=1
  [C05 126/164] HumanEval/125 38640ms 169tok n=1
  [C05 127/164] HumanEval/126 105115ms 350tok n=1
  [C05 128/164] HumanEval/127 13915ms 197tok n=1
  [C05 129/164] HumanEval/128 23145ms 145tok n=1
